video_id,t_start,t_end,score
23_38,693.4,732.94,0.9986
23_38,949.54,952.68,0.9983
23_38,823.74,836.91,0.9975
23_38,890.37,903.56,0.9969
23_38,957.0,979.99,0.9962
23_38,921.25,943.82,0.9947
23_38,620.45,648.28,0.9938
23_38,738.65,745.05,0.9915
23_38,682.13,690.13,0.9897
23_38,840.67,848.21,0.9896
23_38,1000.28,1176.44,0.9887
23_38,749.19,752.2,0.987
23_38,879.47,883.51,0.9805
23_38,652.07,672.77,0.979
23_38,857.62,874.94,0.9784
23_38,1167.38,1174.46,0.9746
23_38,944.2,949.49,0.9682
23_38,757.47,761.24,0.9655
23_38,878.43,879.01,0.9603
23_38,1145.26,1165.23,0.9597
23_38,771.7,823.5,0.9581
23_38,693.39,732.94,0.135
23_38,749.19,752.2,0.1341
23_38,949.54,952.67,0.1338
23_38,682.13,690.13,0.1337
23_38,921.23,943.81,0.1336
23_38,890.37,903.55,0.1334
23_38,620.46,648.28,0.1334
23_38,879.48,883.51,0.1326
23_38,823.74,836.9,0.1321
23_38,738.65,745.05,0.1295
23_38,944.2,949.49,0.1292
23_38,771.75,823.48,0.1271
23_38,949.54,952.68,0.018
23_38,682.13,690.14,0.0178
23_38,620.45,648.28,0.0178
23_38,879.48,883.51,0.0176
23_38,733.93,736.82,0.0122
23_38,921.76,923.63,0.0068
23_38,911.06,916.49,0.0061
23_38,882.19,913.92,0.0056
23_38,756.48,761.3,0.0053
23_38,745.04,755.72,0.0043
23_38,688.78,699.54,0.0039
23_38,1164.53,1179.42,0.0037
23_38,934.44,936.55,0.0036
23_38,956.06,1001.26,0.0036
23_38,1176.7,1179.01,0.0035
23_38,1046.67,1052.31,0.0035
23_38,1082.94,1085.65,0.0034
23_38,839.15,848.09,0.0032
23_38,620.18,625.38,0.0027
23_38,919.72,921.91,0.0025
23_38,742.84,828.34,0.0025
23_38,1123.6,1125.99,0.0024
23_38,810.86,823.48,0.0023
23_38,980.84,983.72,0.0022
23_38,1038.74,1078.5,0.0022
23_38,737.35,750.98,0.0021
23_38,1103.38,1105.58,0.002
23_38,1073.59,1076.0,0.002
23_38,990.75,994.15,0.002
23_38,986.46,989.23,0.002
23_38,960.73,963.39,0.002
23_38,1181.75,1228.8,0.0019
23_38,641.28,644.2,0.0019
23_38,770.32,798.85,0.0019
23_38,922.97,936.3,0.0015
23_38,848.76,854.04,0.0015
23_38,858.12,871.05,0.0015
23_38,700.11,725.08,0.0014
23_38,986.78,1030.47,0.0014
23_38,907.12,918.92,0.0013
23_38,1184.08,1228.8,0.0012
23_38,875.08,879.9,0.0012
23_38,915.8,918.72,0.0011
23_38,675.04,681.57,0.0011
23_38,952.08,954.48,0.0011
23_38,1001.32,1004.06,0.0011
23_38,984.34,994.98,0.001
23_38,841.89,845.51,0.001
22_2,1133.46,1144.93,0.9988
22_2,692.62,699.48,0.9984
22_2,814.69,851.49,0.9976
22_2,853.39,1036.63,0.9976
22_2,780.63,812.43,0.9974
22_2,1073.32,1130.38,0.9952
22_2,701.45,721.52,0.9946
22_2,1144.94,1150.43,0.9941
22_2,654.05,688.9,0.994
22_2,614.36,652.36,0.9932
22_2,1063.64,1071.12,0.9881
22_2,1038.4,1041.65,0.9868
22_2,755.93,772.48,0.968
22_2,727.78,736.33,0.9662
22_2,780.67,812.4,0.1358
22_2,1063.64,1071.12,0.1345
22_2,654.05,688.88,0.1344
22_2,853.71,1036.35,0.1344
22_2,1073.31,1130.43,0.1344
22_2,814.66,851.45,0.1341
22_2,692.62,699.48,0.1333
22_2,1063.64,1071.12,0.0181
22_2,1073.23,1130.38,0.018
22_2,864.5,867.69,0.0147
22_2,614.42,620.49,0.0078
22_2,731.49,754.45,0.0069
22_2,875.2,886.74,0.0065
22_2,652.62,659.34,0.0064
22_2,691.11,726.66,0.0059
22_2,902.97,915.07,0.0051
22_2,1050.13,1062.6,0.005
22_2,1125.8,1131.59,0.0047
22_2,1071.03,1080.47,0.0043
22_2,1136.08,1228.8,0.004
22_2,677.88,683.42,0.0035
22_2,1148.7,1151.02,0.0035
22_2,778.29,867.15,0.0033
22_2,769.2,771.95,0.0032
22_2,923.85,929.6,0.0031
22_2,695.67,698.61,0.0031
22_2,890.01,901.68,0.0028
22_2,1119.95,1126.5,0.0028
22_2,979.7,985.2,0.0026
22_2,1135.12,1140.82,0.0024
22_2,1145.31,1147.93,0.0024
22_2,1153.68,1156.76,0.0023
22_2,826.77,833.11,0.0022
22_2,671.42,677.36,0.0022
22_2,892.16,934.76,0.0022
22_2,801.09,812.36,0.0021
22_2,1050.83,1057.08,0.0021
